# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2024-03-08T06:19:32   112342  RSR        Pointing     Map(Az)     1041+061                  2024-S1-US-5                        0.0     0      68.3  160.321510   6.171368  194.7  76.6  0 0
2024-03-08T06:22:22   112343  RSR        Pointing     Map(Az)     1041+061                  2024-S1-US-5                        0.0     0      68.4  160.321510   6.171368  197.6  76.5  0 0
2024-03-08T06:24:59   112344  RSR        Pointing     Map(Az)     1041+061                  2024-S1-US-5                        0.0     0      68.2  160.321510   6.171368  200.3  76.3  0 0
2024-03-08T06:27:53   112345  RSR        Calibration  Cal         C1                        2024-S1-US-5                        0.0     0      12.0  150.554930   2.396220  223.4  67.7  0 0
2024-03-08T06:28:59   112346  RSR        Science      Bs          C1                        2024-S1-US-5                        0.0     0     300.5  150.554930   2.396220  224.1  67.4  0 0
2024-03-08T06:35:26   112347  RSR        Science      Bs          C1                        2024-S1-US-5                        0.0     0     300.7  150.554930   2.396220  227.2  66.3  0 0
2024-03-08T06:41:50   112348  RSR        Science      Bs          C1                        2024-S1-US-5                        0.0     0     300.0  150.554930   2.396220  229.9  65.2  0 0
2024-03-08T06:48:28   112349  RSR        Calibration  Cal         C1                        2024-S1-US-5                        0.0     0      12.0  150.554930   2.396220  232.5  64.0  0 0
2024-03-08T06:49:33   112350  RSR        Science      Bs          C1                        2024-S1-US-5                        0.0     0     300.1  150.554930   2.396220  232.9  63.8  0 0
2024-03-08T06:55:58   112351  RSR        Science      Bs          C1                        2024-S1-US-5                        0.0     0     301.2  150.554930   2.396220  235.2  62.5  0 0
2024-03-08T07:02:31   112352  RSR        Science      Bs          C1                        2024-S1-US-5                        0.0     0     300.4  150.554930   2.396220  237.4  61.2  0 0
2024-03-08T07:09:57   112353  RSR        Pointing     Map(Az)     1041+061                  2024-S1-US-5                        0.0     0      69.1  160.321510   6.171368  232.4  69.7  0 0
2024-03-08T07:12:35   112354  RSR        Pointing     Map(Az)     1041+061                  2024-S1-US-5                        0.0     0      70.7  160.321510   6.171368  233.6  69.2  0 0
2024-03-08T07:15:15   112355  RSR        Calibration  Cal         C2                        2024-S1-US-5                        0.0     0      12.0  150.282250   2.460220  241.4  58.5  0 0
2024-03-08T07:16:37   112356  RSR        Science      Bs          C2                        2024-S1-US-5                        0.0     0     301.3  150.282250   2.460220  241.8  58.2  0 0
2024-03-08T07:23:14   112357  RSR        Science      Bs          C2                        2024-S1-US-5                        0.0     0     300.0  150.282250   2.460220  243.5  56.8  0 0
2024-03-08T07:29:35   112358  RSR        Science      Bs          C2                        2024-S1-US-5                        0.0     0     300.1  150.282250   2.460220  245.0  55.4  0 0
2024-03-08T07:36:25   112359  RSR        Calibration  Cal         C2                        2024-S1-US-5                        0.0     0      12.0  150.282250   2.460220  246.5  54.0  0 0
2024-03-08T07:37:26   112360  RSR        Science      Bs          C2                        2024-S1-US-5                        0.0     0     300.2  150.282250   2.460220  246.7  53.7  0 0
2024-03-08T07:43:56   112361  RSR        Science      Bs          C2                        2024-S1-US-5                        0.0     0     300.0  150.282250   2.460220  248.0  52.3  0 0
2024-03-08T07:50:21   112362  RSR        Science      Bs          C2                        2024-S1-US-5                        0.0     0     300.0  150.282250   2.460220  249.2  50.9  0 0
